geosot	id
11011001111000	10978
11011001110010	10979
11011001110000	10980
11011001011010	10981
11011001011000	10982
11011001010010	10983
11011001010000	10984
11010011111010	10985
11010011111000	10986
11010011110010	10987
11010011110000	10988
11010011011010	10989
11010011011000	10990
11010011010010	10991
11010011010000	10992
11010001111010	10993
11010001111000	10994
11010001110010	10995
11010001110000	10996
11010001011010	10997
11010001011000	10998
11010001010010	10999
11010001010000	11000
01010001010000	11001
01010001010010	11002
01010001011000	11003
01010001011010	11004
01010001110000	11005
01010001110010	11006
01010001111000	11007
01010001111010	11008
01010011010000	11009
01010011010010	11010
01010011011000	11011
01010011011010	11012
01010011110000	11013
01010011110010	11014
01010011111000	11015
01010011111010	11016
01011001010000	11017
01011001010010	11018
01011001011000	11019
01011001011010	11020
01011001110000	11021
01011001110010	11022
01011001111000	11023
11011001101101	11024
11011001100111	11025
11011001100101	11026
11011001001111	11027
11011001001101	11028
11011001000111	11029
11011001000101	11030
11010011101111	11031
11010011101101	11032
11010011100111	11033
11010011100101	11034
11010011001111	11035
11010011001101	11036
11010011000111	11037
11010011000101	11038
11010001101111	11039
11010001101101	11040
11010001100111	11041
11010001100101	11042
11010001001111	11043
11010001001101	11044
11010001000111	11045
11010001000101	11046
01010001000101	11047
01010001000111	11048
01010001001101	11049
01010001001111	11050
01010001100101	11051
01010001100111	11052
01010001101101	11053
01010001101111	11054
01010011000101	11055
01010011000111	11056
01010011001101	11057
01010011001111	11058
01010011100101	11059
01010011100111	11060
01010011101101	11061
01010011101111	11062
01011001000101	11063
01011001000111	11064
01011001001101	11065
01011001001111	11066
01011001100101	11067
01011001100111	11068
01011001101101	11069
11011001101100	11070
11011001100110	11071
11011001100100	11072
11011001001110	11073
11011001001100	11074
11011001000110	11075
11011001000100	11076
11010011101110	11077
11010011101100	11078
11010011100110	11079
11010011100100	11080
11010011001110	11081
11010011001100	11082
11010011000110	11083
11010011000100	11084
11010001101110	11085
11010001101100	11086
11010001100110	11087
11010001100100	11088
11010001001110	11089
11010001001100	11090
11010001000110	11091
11010001000100	11092
01010001000100	11093
01010001000110	11094
01010001001100	11095
01010001001110	11096
01010001100100	11097
01010001100110	11098
01010001101100	11099
01010001101110	11100
01010011000100	11101
01010011000110	11102
01010011001100	11103
01010011001110	11104
01010011100100	11105
01010011100110	11106
01010011101100	11107
01010011101110	11108
01011001000100	11109
01011001000110	11110
01011001001100	11111
01011001001110	11112
01011001100100	11113
01011001100110	11114
01011001101100	11115
11011001101001	11116
11011001100011	11117
11011001100001	11118
11011001001011	11119
11011001001001	11120
11011001000011	11121
11011001000001	11122
11010011101011	11123
11010011101001	11124
11010011100011	11125
11010011100001	11126
11010011001011	11127
11010011001001	11128
11010011000011	11129
11010011000001	11130
11010001101011	11131
11010001101001	11132
11010001100011	11133
11010001100001	11134
11010001001011	11135
11010001001001	11136
11010001000011	11137
11010001000001	11138
01010001000001	11139
01010001000011	11140
01010001001001	11141
01010001001011	11142
01010001100001	11143
01010001100011	11144
01010001101001	11145
01010001101011	11146
01010011000001	11147
01010011000011	11148
01010011001001	11149
01010011001011	11150
01010011100001	11151
01010011100011	11152
01010011101001	11153
01010011101011	11154
01011001000001	11155
01011001000011	11156
01011001001001	11157
01011001001011	11158
01011001100001	11159
01011001100011	11160
01011001101001	11161
11011001101000	11162
11011001100010	11163
11011001100000	11164
11011001001010	11165
11011001001000	11166
11011001000010	11167
11011001000000	11168
11010011101010	11169
11010011101000	11170
11010011100010	11171
11010011100000	11172
11010011001010	11173
11010011001000	11174
11010011000010	11175
11010011000000	11176
11010001101010	11177
11010001101000	11178
11010001100010	11179
11010001100000	11180
11010001001010	11181
11010001001000	11182
11010001000010	11183
11010001000000	11184
01010001000000	11185
01010001000010	11186
01010001001000	11187
01010001001010	11188
01010001100000	11189
01010001100010	11190
01010001101000	11191
01010001101010	11192
01010011000000	11193
01010011000010	11194
01010011001000	11195
01010011001010	11196
01010011100000	11197
01010011100010	11198
01010011101000	11199
01010011101010	11200
01011001000000	11201
01011001000010	11202
01011001001000	11203
01011001001010	11204
01011001100000	11205
01011001100010	11206
01011001101000	11207
11011000111101	11208
11011000110111	11209
11011000110101	11210
11011000011111	11211
11011000011101	11212
11011000010111	11213
11011000010101	11214
11010010111111	11215
11010010111101	11216
11010010110111	11217
11010010110101	11218
11010010011111	11219
11010010011101	11220
11010010010111	11221
11010010010101	11222
11010000111111	11223
11010000111101	11224
11010000110111	11225
11010000110101	11226
11010000011111	11227
11010000011101	11228
11010000010111	11229
11010000010101	11230
01010000010101	11231
01010000010111	11232
01010000011101	11233
01010000011111	11234
01010000110101	11235
01010000110111	11236
01010000111101	11237
01010000111111	11238
01010010010101	11239
01010010010111	11240
01010010011101	11241
01010010011111	11242
01010010110101	11243
01010010110111	11244
01010010111101	11245
01010010111111	11246
01011000010101	11247
01011000010111	11248
01011000011101	11249
01011000011111	11250
01011000110101	11251
01011000110111	11252
01011000111101	11253
11011000111100	11254
11011000110110	11255
11011000110100	11256
11011000011110	11257
11011000011100	11258
11011000010110	11259
11011000010100	11260
11010010111110	11261
11010010111100	11262
11010010110110	11263
11010010110100	11264
11010010011110	11265
11010010011100	11266
11010010010110	11267
11010010010100	11268
11010000111110	11269
11010000111100	11270
11010000110110	11271
11010000110100	11272
11010000011110	11273
11010000011100	11274
11010000010110	11275
11010000010100	11276
01010000010100	11277
01010000010110	11278
01010000011100	11279
01010000011110	11280
01010000110100	11281
01010000110110	11282
01010000111100	11283
01010000111110	11284
01010010010100	11285
01010010010110	11286
01010010011100	11287
01010010011110	11288
01010010110100	11289
01010010110110	11290
01010010111100	11291
01010010111110	11292
01011000010100	11293
01011000010110	11294
01011000011100	11295
01011000011110	11296
01011000110100	11297
01011000110110	11298
01011000111100	11299
11011000111001	11300
11011000110011	11301
11011000110001	11302
11011000011011	11303
11011000011001	11304
11011000010011	11305
11011000010001	11306
11010010111011	11307
11010010111001	11308
11010010110011	11309
11010010110001	11310
11010010011011	11311
11010010011001	11312
11010010010011	11313
11010010010001	11314
11010000111011	11315
11010000111001	11316
11010000110011	11317
11010000110001	11318
11010000011011	11319
11010000011001	11320
11010000010011	11321
11010000010001	11322
01010000010001	11323
01010000010011	11324
01010000011001	11325
01010000011011	11326
01010000110001	11327
01010000110011	11328
01010000111001	11329
01010000111011	11330
01010010010001	11331
01010010010011	11332
01010010011001	11333
01010010011011	11334
01010010110001	11335
01010010110011	11336
01010010111001	11337
01010010111011	11338
01011000010001	11339
01011000010011	11340
01011000011001	11341
01011000011011	11342
01011000110001	11343
01011000110011	11344
01011000111001	11345
11011000111000	11346
11011000110010	11347
11011000110000	11348
11011000011010	11349
11011000011000	11350
11011000010010	11351
11011000010000	11352
11010010111010	11353
11010010111000	11354
11010010110010	11355
11010010110000	11356
11010010011010	11357
11010010011000	11358
11010010010010	11359
11010010010000	11360
11010000111010	11361
11010000111000	11362
11010000110010	11363
11010000110000	11364
11010000011010	11365
11010000011000	11366
11010000010010	11367
11010000010000	11368
01010000010000	11369
01010000010010	11370
01010000011000	11371
01010000011010	11372
01010000110000	11373
01010000110010	11374
01010000111000	11375
01010000111010	11376
01010010010000	11377
01010010010010	11378
01010010011000	11379
01010010011010	11380
01010010110000	11381
01010010110010	11382
01010010111000	11383
01010010111010	11384
01011000010000	11385
01011000010010	11386
01011000011000	11387
01011000011010	11388
01011000110000	11389
01011000110010	11390
01011000111000	11391
11011000101101	11392
11011000100111	11393
11011000100101	11394
11011000001111	11395
11011000001101	11396
11011000000111	11397
11011000000101	11398
11010010101111	11399
11010010101101	11400
11010010100111	11401
11010010100101	11402
11010010001111	11403
11010010001101	11404
11010010000111	11405
11010010000101	11406
11010000101111	11407
11010000101101	11408
11010000100111	11409
11010000100101	11410
11010000001111	11411
11010000001101	11412
11010000000111	11413
11010000000101	11414
01010000000101	11415
01010000000111	11416
01010000001101	11417
01010000001111	11418
01010000100101	11419
01010000100111	11420
01010000101101	11421
01010000101111	11422
01010010000101	11423
01010010000111	11424
01010010001101	11425
01010010001111	11426
01010010100101	11427
01010010100111	11428
01010010101101	11429
01010010101111	11430
01011000000101	11431
01011000000111	11432
01011000001101	11433
01011000001111	11434
01011000100101	11435
01011000100111	11436
01011000101101	11437
11011000101100	11438
11011000100110	11439
11011000100100	11440
11011000001110	11441
11011000001100	11442
11011000000110	11443
11011000000100	11444
11010010101110	11445
11010010101100	11446
11010010100110	11447
11010010100100	11448
11010010001110	11449
11010010001100	11450
11010010000110	11451
11010010000100	11452
11010000101110	11453
11010000101100	11454
11010000100110	11455
11010000100100	11456
11010000001110	11457
11010000001100	11458
11010000000110	11459
11010000000100	11460
01010000000100	11461
01010000000110	11462
01010000001100	11463
01010000001110	11464
01010000100100	11465
01010000100110	11466
01010000101100	11467
01010000101110	11468
01010010000100	11469
01010010000110	11470
01010010001100	11471
01010010001110	11472
01010010100100	11473
01010010100110	11474
01010010101100	11475
01010010101110	11476
01011000000100	11477
01011000000110	11478
01011000001100	11479
01011000001110	11480
01011000100100	11481
01011000100110	11482
01011000101100	11483
11011000101001	11484
11011000100011	11485
11011000100001	11486
11011000001011	11487
11011000001001	11488
11011000000011	11489
11011000000001	11490
11010010101011	11491
11010010101001	11492
11010010100011	11493
11010010100001	11494
11010010001011	11495
11010010001001	11496
11010010000011	11497
11010010000001	11498
11010000101011	11499
11010000101001	11500
11010000100011	11501
11010000100001	11502
11010000001011	11503
11010000001001	11504
11010000000011	11505
11010000000001	11506
01010000000001	11507
01010000000011	11508
01010000001001	11509
01010000001011	11510
01010000100001	11511
01010000100011	11512
01010000101001	11513
01010000101011	11514
01010010000001	11515
01010010000011	11516
01010010001001	11517
01010010001011	11518
01010010100001	11519
01010010100011	11520
01010010101001	11521
01010010101011	11522
01011000000001	11523
01011000000011	11524
01011000001001	11525
01011000001011	11526
01011000100001	11527
01011000100011	11528
01011000101001	11529
11011000101000	11530
11011000100010	11531
11011000100000	11532
11011000001010	11533
11011000001000	11534
11011000000010	11535
11011000000000	11536
11010010101010	11537
11010010101000	11538
11010010100010	11539
11010010100000	11540
11010010001010	11541
11010010001000	11542
11010010000010	11543
11010010000000	11544
11010000101010	11545
11010000101000	11546
11010000100010	11547
11010000100000	11548
11010000001010	11549
11010000001000	11550
11010000000010	11551
11010000000000	11552
01010000000000	11553
01010000000010	11554
01010000001000	11555
01010000001010	11556
01010000100000	11557
01010000100010	11558
01010000101000	11559
01010000101010	11560
01010010000000	11561
01010010000010	11562
01010010001000	11563
01010010001010	11564
01010010100000	11565
01010010100010	11566
01010010101000	11567
01010010101010	11568
01011000000000	11569
01011000000010	11570
01011000001000	11571
01011000001010	11572
01011000100000	11573
01011000100010	11574
01011000101000	11575
11001101111101	11576
11001101110111	11577
11001101110101	11578
11001101011111	11579
11001101011101	11580
11001101010111	11581
11001101010101	11582
11000111111111	11583
11000111111101	11584
11000111110111	11585
11000111110101	11586
11000111011111	11587
11000111011101	11588
11000111010111	11589
11000111010101	11590
11000101111111	11591
11000101111101	11592
11000101110111	11593
11000101110101	11594
11000101011111	11595
11000101011101	11596
11000101010111	11597
11000101010101	11598
01000101010101	11599
01000101010111	11600
01000101011101	11601
01000101011111	11602
01000101110101	11603
01000101110111	11604
01000101111101	11605
01000101111111	11606
01000111010101	11607
01000111010111	11608
01000111011101	11609
01000111011111	11610
01000111110101	11611
01000111110111	11612
01000111111101	11613
01000111111111	11614
01001101010101	11615
01001101010111	11616
01001101011101	11617
01001101011111	11618
01001101110101	11619
01001101110111	11620
01001101111101	11621
11001101111100	11622
11001101110110	11623
11001101110100	11624
11001101011110	11625
11001101011100	11626
11001101010110	11627
11001101010100	11628
11000111111110	11629
11000111111100	11630
11000111110110	11631
11000111110100	11632
11000111011110	11633
11000111011100	11634
11000111010110	11635
11000111010100	11636
11000101111110	11637
11000101111100	11638
11000101110110	11639
11000101110100	11640
11000101011110	11641
11000101011100	11642
11000101010110	11643
11000101010100	11644
01000101010100	11645
01000101010110	11646
01000101011100	11647
01000101011110	11648
01000101110100	11649
01000101110110	11650
01000101111100	11651
01000101111110	11652
01000111010100	11653
01000111010110	11654
01000111011100	11655
01000111011110	11656
01000111110100	11657
01000111110110	11658
01000111111100	11659
01000111111110	11660
01001101010100	11661
01001101010110	11662
01001101011100	11663
01001101011110	11664
01001101110100	11665
01001101110110	11666
01001101111100	11667
11001101111001	11668
11001101110011	11669
11001101110001	11670
11001101011011	11671
11001101011001	11672
11001101010011	11673
11001101010001	11674
11000111111011	11675
11000111111001	11676
11000111110011	11677
11000111110001	11678
11000111011011	11679
11000111011001	11680
11000111010011	11681
11000111010001	11682
11000101111011	11683
11000101111001	11684
11000101110011	11685
11000101110001	11686
11000101011011	11687
11000101011001	11688
11000101010011	11689
11000101010001	11690
01000101010001	11691
01000101010011	11692
01000101011001	11693
01000101011011	11694
01000101110001	11695
01000101110011	11696
01000101111001	11697
01000101111011	11698
01000111010001	11699
01000111010011	11700
01000111011001	11701
01000111011011	11702
01000111110001	11703
01000111110011	11704
01000111111001	11705
01000111111011	11706
01001101010001	11707
01001101010011	11708
01001101011001	11709
01001101011011	11710
01001101110001	11711
01001101110011	11712
01001101111001	11713
11001101111000	11714
11001101110010	11715
11001101110000	11716
11001101011010	11717
11001101011000	11718
11001101010010	11719
11001101010000	11720
11000111111010	11721
11000111111000	11722
11000111110010	11723
11000111110000	11724
11000111011010	11725
11000111011000	11726
11000111010010	11727
11000111010000	11728
11000101111010	11729
11000101111000	11730
11000101110010	11731
11000101110000	11732
11000101011010	11733
11000101011000	11734
11000101010010	11735
11000101010000	11736
01000101010000	11737
01000101010010	11738
01000101011000	11739
01000101011010	11740
01000101110000	11741
01000101110010	11742
01000101111000	11743
01000101111010	11744
01000111010000	11745
01000111010010	11746
01000111011000	11747
01000111011010	11748
01000111110000	11749
01000111110010	11750
01000111111000	11751
01000111111010	11752
01001101010000	11753
01001101010010	11754
01001101011000	11755
01001101011010	11756
01001101110000	11757
01001101110010	11758
01001101111000	11759
11001101101101	11760
11001101100111	11761
11001101100101	11762
11001101001111	11763
11001101001101	11764
11001101000111	11765
11001101000101	11766
11000111101111	11767
11000111101101	11768
11000111100111	11769
11000111100101	11770
11000111001111	11771
11000111001101	11772
11000111000111	11773
11000111000101	11774
11000101101111	11775
11000101101101	11776
11000101100111	11777
11000101100101	11778
11000101001111	11779
11000101001101	11780
11000101000111	11781
11000101000101	11782
01000101000101	11783
01000101000111	11784
01000101001101	11785
01000101001111	11786
01000101100101	11787
01000101100111	11788
01000101101101	11789
01000101101111	11790
01000111000101	11791
01000111000111	11792
01000111001101	11793
01000111001111	11794
01000111100101	11795
01000111100111	11796
01000111101101	11797
01000111101111	11798
01001101000101	11799
01001101000111	11800
01001101001101	11801
01001101001111	11802
01001101100101	11803
01001101100111	11804
01001101101101	11805
11001101101100	11806
11001101100110	11807
11001101100100	11808
11001101001110	11809
11001101001100	11810
11001101000110	11811
11001101000100	11812
11000111101110	11813
11000111101100	11814
11000111100110	11815
11000111100100	11816
11000111001110	11817
11000111001100	11818
11000111000110	11819
11000111000100	11820
11000101101110	11821
11000101101100	11822
11000101100110	11823
11000101100100	11824
11000101001110	11825
11000101001100	11826
11000101000110	11827
11000101000100	11828
01000101000100	11829
01000101000110	11830
01000101001100	11831
01000101001110	11832
01000101100100	11833
01000101100110	11834
01000101101100	11835
01000101101110	11836
01000111000100	11837
01000111000110	11838
01000111001100	11839
01000111001110	11840
01000111100100	11841
01000111100110	11842
01000111101100	11843
01000111101110	11844
01001101000100	11845
01001101000110	11846
01001101001100	11847
01001101001110	11848
01001101100100	11849
01001101100110	11850
01001101101100	11851
11001101101001	11852
11001101100011	11853
11001101100001	11854
11001101001011	11855
11001101001001	11856
11001101000011	11857
11001101000001	11858
11000111101011	11859
11000111101001	11860
11000111100011	11861
11000111100001	11862
11000111001011	11863
11000111001001	11864
11000111000011	11865
11000111000001	11866
11000101101011	11867
11000101101001	11868
11000101100011	11869
11000101100001	11870
11000101001011	11871
11000101001001	11872
11000101000011	11873
11000101000001	11874
01000101000001	11875
01000101000011	11876
01000101001001	11877
01000101001011	11878
01000101100001	11879
01000101100011	11880
01000101101001	11881
01000101101011	11882
01000111000001	11883
01000111000011	11884
01000111001001	11885
01000111001011	11886
01000111100001	11887
01000111100011	11888
01000111101001	11889
01000111101011	11890
01001101000001	11891
01001101000011	11892
01001101001001	11893
01001101001011	11894
01001101100001	11895
01001101100011	11896
01001101101001	11897
11001101101000	11898
11001101100010	11899
11001101100000	11900
11001101001010	11901
11001101001000	11902
11001101000010	11903
11001101000000	11904
11000111101010	11905
11000111101000	11906
11000111100010	11907
11000111100000	11908
11000111001010	11909
11000111001000	11910
11000111000010	11911
11000111000000	11912
11000101101010	11913
11000101101000	11914
11000101100010	11915
11000101100000	11916
11000101001010	11917
11000101001000	11918
11000101000010	11919
11000101000000	11920
01000101000000	11921
01000101000010	11922
01000101001000	11923
01000101001010	11924
01000101100000	11925
01000101100010	11926
01000101101000	11927
01000101101010	11928
01000111000000	11929
01000111000010	11930
01000111001000	11931
01000111001010	11932
01000111100000	11933
01000111100010	11934
01000111101000	11935
01000111101010	11936
01001101000000	11937
01001101000010	11938
01001101001000	11939
01001101001010	11940
01001101100000	11941
01001101100010	11942
01001101101000	11943
11001100111101	11944
11001100110111	11945
11001100110101	11946
11001100011111	11947
11001100011101	11948
11001100010111	11949
11001100010101	11950
11000110111111	11951
11000110111101	11952
11000110110111	11953
11000110110101	11954
11000110011111	11955
11000110011101	11956
11000110010111	11957
11000110010101	11958
11000100111111	11959
11000100111101	11960
11000100110111	11961
11000100110101	11962
11000100011111	11963
11000100011101	11964
11000100010111	11965
11000100010101	11966
01000100010101	11967
01000100010111	11968
01000100011101	11969
01000100011111	11970
01000100110101	11971
01000100110111	11972
01000100111101	11973
01000100111111	11974
01000110010101	11975
01000110010111	11976
01000110011101	11977
01000110011111	11978
01000110110101	11979
01000110110111	11980
01000110111101	11981
01000110111111	11982
01001100010101	11983
01001100010111	11984
01001100011101	11985
01001100011111	11986
01001100110101	11987
01001100110111	11988
01001100111101	11989
11001100111100	11990
11001100110110	11991
11001100110100	11992
11001100011110	11993
11001100011100	11994
11001100010110	11995
11001100010100	11996
11000110111110	11997
11000110111100	11998
11000110110110	11999
11000110110100	12000
11000110011110	12001
11000110011100	12002
11000110010110	12003
11000110010100	12004
11000100111110	12005
11000100111100	12006
11000100110110	12007
11000100110100	12008
11000100011110	12009
11000100011100	12010
11000100010110	12011
11000100010100	12012
01000100010100	12013
01000100010110	12014
01000100011100	12015
01000100011110	12016
01000100110100	12017
01000100110110	12018
01000100111100	12019
01000100111110	12020
01000110010100	12021
01000110010110	12022
01000110011100	12023
01000110011110	12024
01000110110100	12025
01000110110110	12026
01000110111100	12027
01000110111110	12028
01001100010100	12029
01001100010110	12030
01001100011100	12031
01001100011110	12032
01001100110100	12033
01001100110110	12034
01001100111100	12035
11001100111001	12036
11001100110011	12037
11001100110001	12038
11001100011011	12039
11001100011001	12040
11001100010011	12041
11001100010001	12042
11000110111011	12043
11000110111001	12044
11000110110011	12045
11000110110001	12046
11000110011011	12047
11000110011001	12048
11000110010011	12049
11000110010001	12050
11000100111011	12051
11000100111001	12052
11000100110011	12053
11000100110001	12054
11000100011011	12055
11000100011001	12056
11000100010011	12057
11000100010001	12058
01000100010001	12059
01000100010011	12060
01000100011001	12061
01000100011011	12062
01000100110001	12063
01000100110011	12064
01000100111001	12065
01000100111011	12066
01000110010001	12067
01000110010011	12068
01000110011001	12069
01000110011011	12070
01000110110001	12071
01000110110011	12072
01000110111001	12073
01000110111011	12074
01001100010001	12075
01001100010011	12076
01001100011001	12077
01001100011011	12078
01001100110001	12079
01001100110011	12080
01001100111001	12081
11001100111000	12082
11001100110010	12083
11001100110000	12084
11001100011010	12085
11001100011000	12086
11001100010010	12087
11001100010000	12088
11000110111010	12089
11000110111000	12090
11000110110010	12091
11000110110000	12092
11000110011010	12093
11000110011000	12094
11000110010010	12095
11000110010000	12096
11000100111010	12097
11000100111000	12098
11000100110010	12099
11000100110000	12100
11000100011010	12101
11000100011000	12102
11000100010010	12103
11000100010000	12104
01000100010000	12105
01000100010010	12106
01000100011000	12107
01000100011010	12108
01000100110000	12109
01000100110010	12110
01000100111000	12111
01000100111010	12112
01000110010000	12113
01000110010010	12114
01000110011000	12115
01000110011010	12116
01000110110000	12117
01000110110010	12118
01000110111000	12119
01000110111010	12120
01001100010000	12121
01001100010010	12122
01001100011000	12123
01001100011010	12124
01001100110000	12125
01001100110010	12126
01001100111000	12127
11001100101101	12128
11001100100111	12129
11001100100101	12130
11001100001111	12131
11001100001101	12132
11001100000111	12133
11001100000101	12134
11000110101111	12135
11000110101101	12136
11000110100111	12137
11000110100101	12138
11000110001111	12139
11000110001101	12140
11000110000111	12141
11000110000101	12142
11000100101111	12143
11000100101101	12144
11000100100111	12145
11000100100101	12146
11000100001111	12147
11000100001101	12148
11000100000111	12149
11000100000101	12150
01000100000101	12151
01000100000111	12152
01000100001101	12153
01000100001111	12154
01000100100101	12155
01000100100111	12156
01000100101101	12157
01000100101111	12158
01000110000101	12159
01000110000111	12160
01000110001101	12161
01000110001111	12162
01000110100101	12163
01000110100111	12164
01000110101101	12165
01000110101111	12166
01001100000101	12167
01001100000111	12168
01001100001101	12169
01001100001111	12170
01001100100101	12171
01001100100111	12172
01001100101101	12173
11001100101100	12174
11001100100110	12175
11001100100100	12176
11001100001110	12177
11001100001100	12178
11001100000110	12179
11001100000100	12180
11000110101110	12181
11000110101100	12182
11000110100110	12183
11000110100100	12184
11000110001110	12185
11000110001100	12186
11000110000110	12187
11000110000100	12188
11000100101110	12189
11000100101100	12190
11000100100110	12191
11000100100100	12192
11000100001110	12193
11000100001100	12194
11000100000110	12195
11000100000100	12196
01000100000100	12197
01000100000110	12198
01000100001100	12199
01000100001110	12200
01000100100100	12201
01000100100110	12202
01000100101100	12203
01000100101110	12204
01000110000100	12205
01000110000110	12206
01000110001100	12207
01000110001110	12208
01000110100100	12209
01000110100110	12210
01000110101100	12211
01000110101110	12212
01001100000100	12213
01001100000110	12214
01001100001100	12215
01001100001110	12216
01001100100100	12217
01001100100110	12218
01001100101100	12219
11001100101001	12220
11001100100011	12221
11001100100001	12222
11001100001011	12223
11001100001001	12224
11001100000011	12225
11001100000001	12226
11000110101011	12227
11000110101001	12228
11000110100011	12229
11000110100001	12230
11000110001011	12231
11000110001001	12232
11000110000011	12233
11000110000001	12234
11000100101011	12235
11000100101001	12236
11000100100011	12237
11000100100001	12238
11000100001011	12239
11000100001001	12240
11000100000011	12241
11000100000001	12242
01000100000001	12243
01000100000011	12244
01000100001001	12245
01000100001011	12246
01000100100001	12247
01000100100011	12248
01000100101001	12249
01000100101011	12250
01000110000001	12251
01000110000011	12252
01000110001001	12253
01000110001011	12254
01000110100001	12255
01000110100011	12256
01000110101001	12257
01000110101011	12258
01001100000001	12259
01001100000011	12260
01001100001001	12261
01001100001011	12262
01001100100001	12263
01001100100011	12264
01001100101001	12265
11001100101000	12266
11001100100010	12267
11001100100000	12268
11001100001010	12269
11001100001000	12270
11001100000010	12271
11001100000000	12272
11000110101010	12273
11000110101000	12274
11000110100010	12275
11000110100000	12276
11000110001010	12277
11000110001000	12278
11000110000010	12279
11000110000000	12280
11000100101010	12281
11000100101000	12282
11000100100010	12283
11000100100000	12284
11000100001010	12285
11000100001000	12286
11000100000010	12287
11000100000000	12288
01000100000000	12289
01000100000010	12290
01000100001000	12291
01000100001010	12292
01000100100000	12293
01000100100010	12294
01000100101000	12295
01000100101010	12296
01000110000000	12297
01000110000010	12298
01000110001000	12299
01000110001010	12300
01000110100000	12301
01000110100010	12302
01000110101000	12303
01000110101010	12304
01001100000000	12305
01001100000010	12306
01001100001000	12307
01001100001010	12308
01001100100000	12309
01001100100010	12310
01001100101000	12311
11001001111101	12312
11001001110111	12313
11001001110101	12314
11001001011111	12315
11001001011101	12316
11001001010111	12317
11001001010101	12318
11000011111111	12319
11000011111101	12320
11000011110111	12321
11000011110101	12322
11000011011111	12323
11000011011101	12324
11000011010111	12325
11000011010101	12326
11000001111111	12327
11000001111101	12328
11000001110111	12329
11000001110101	12330
11000001011111	12331
11000001011101	12332
11000001010111	12333
11000001010101	12334
01000001010101	12335
01000001010111	12336
01000001011101	12337
01000001011111	12338
01000001110101	12339
01000001110111	12340
01000001111101	12341
01000001111111	12342
01000011010101	12343
01000011010111	12344
01000011011101	12345
01000011011111	12346
01000011110101	12347
01000011110111	12348
01000011111101	12349
01000011111111	12350
01001001010101	12351
01001001010111	12352
01001001011101	12353
01001001011111	12354
01001001110101	12355
01001001110111	12356
